spacing_pct,levels,tp_pct,max_holdings,max_new_buys_per_day,initial_cash,final_equity,total_return_pct,realized_pnl,mtm_pnl,round_trips,buy_fills,max_inventory,max_drawdown_pct,final_inventory,avg_capital_used,risk_adjusted
0.006,10,0.004,30,10,1081048.5,1052819.52,-2.6113,4875.02,-33104,48,61,15,3.1721,13,232443.88,-0.8232
0.006,10,0.002,30,10,1081048.5,1052513.55,-2.6396,2488.05,-31023,54,66,13,2.9823,12,219097.85,-0.8851
0.006,10,0.006,30,10,1081048.5,1050064.32,-2.8661,6923.82,-37908,44,59,16,3.5358,15,273013.37,-0.8106
0.004,10,0.002,30,10,1081048.5,1024786.7,-5.2044,4393.2,-60655,96,118,25,5.9857,22,421803.25,-0.8695
0.006,5,0.004,15,5,540524.25,512295.27,-5.2225,4875.02,-33104,48,61,15,6.3319,13,232443.88,-0.8248
0.006,5,0.002,15,5,540524.25,511989.3,-5.2791,2488.05,-31023,54,66,13,5.9583,12,219097.85,-0.886
0.004,10,0.004,30,10,1081048.5,1023478.67,-5.3254,8724.17,-66294,86,110,27,6.3349,24,466289.92,-0.8406
0.004,10,0.006,30,10,1081048.5,1018435.86,-5.7918,11924.36,-74537,76,103,30,7.2661,27,524295.06,-0.7971
0.006,5,0.006,15,5,540524.25,509106.14,-5.8125,6489.89,-37908,41,56,15,7.0572,15,271160.68,-0.8236
0.004,5,0.004,15,5,540524.25,490008.82,-9.3456,4978.57,-55494,47,62,15,10.9245,15,380308.62,-0.8555
0.004,5,0.002,15,5,540524.25,489527.78,-9.4346,2673.53,-53670,56,71,15,10.745,15,363796.32,-0.878
0.004,5,0.006,15,5,540524.25,488071.18,-9.7041,5947.93,-58401,36,51,15,11.4627,15,392304.23,-0.8466
0.002,10,0.002,30,10,1081048.5,971082.1,-10.1722,5237.6,-115204,109,139,30,11.4668,30,767344.57,-0.8871
0.002,10,0.004,30,10,1081048.5,966340.29,-10.6108,9694.79,-124403,91,121,30,12.2064,30,803762.15,-0.8693
0.002,10,0.006,30,10,1081048.5,964002.08,-10.8271,12579.58,-129626,76,106,30,12.6859,30,837259.05,-0.8535
0.002,5,0.006,15,5,540524.25,474315.11,-12.2491,6472.86,-72682,39,54,15,14.1991,15,463044.71,-0.8627
0.002,5,0.004,15,5,540524.25,474052.32,-12.2977,4746.07,-71218,44,59,15,13.9601,15,453932.35,-0.8809
0.002,5,0.002,15,5,540524.25,473576.98,-12.3856,2482.73,-69430,51,66,15,13.7222,15,443012.22,-0.9026
