spacing_pct,levels,tp_pct,max_holdings,max_new_buys_per_day,initial_cash,final_equity,total_return_pct,realized_pnl,mtm_pnl,round_trips,buy_fills,max_inventory,max_drawdown_pct,final_inventory,avg_capital_used,risk_adjusted
0.006,10,0.006,30,10,967050.0,966064.68,-0.1019,429.68,-1415,3,5,4,0.1629,2,61590.0,-0.6256
0.006,10,0.004,30,10,967050.0,966008.87,-0.1077,373.87,-1415,4,6,4,0.153,2,58586.5,-0.7035
0.006,10,0.002,30,10,967050.0,965926.51,-0.1162,291.51,-1415,7,9,4,0.1543,2,58586.5,-0.753
0.004,10,0.004,30,10,967050.0,965678.36,-0.1418,848.36,-2220,9,12,5,0.2296,3,89511.0,-0.6178
0.004,10,0.002,30,10,967050.0,965287.58,-0.1822,457.58,-2220,11,14,5,0.2381,3,86501.5,-0.7654
0.004,10,0.006,30,10,967050.0,965262.39,-0.1849,867.39,-2655,6,10,6,0.2986,4,110959.0,-0.6191
0.006,5,0.006,15,5,483525.0,482539.67,-0.2038,429.68,-1415,3,5,4,0.3257,2,61590.0,-0.6256
0.006,5,0.004,15,5,483525.0,482483.87,-0.2153,373.87,-1415,4,6,4,0.3061,2,58586.5,-0.7035
0.006,5,0.002,15,5,483525.0,482401.51,-0.2324,291.51,-1415,7,9,4,0.3086,2,58586.5,-0.753
0.004,5,0.004,15,5,483525.0,482153.36,-0.2837,848.36,-2220,9,12,5,0.4591,3,89511.0,-0.6178
0.004,5,0.002,15,5,483525.0,481762.58,-0.3645,457.58,-2220,11,14,5,0.4762,3,86501.5,-0.7655
0.004,5,0.006,15,5,483525.0,481737.39,-0.3697,867.39,-2655,6,10,6,0.5971,4,110959.0,-0.6192
0.002,10,0.002,30,10,967050.0,962874.46,-0.4318,1539.46,-5715,37,47,13,0.5536,10,231325.5,-0.7799
0.002,5,0.002,15,5,483525.0,481261.56,-0.4681,1331.56,-3595,32,39,9,0.6511,7,147867.5,-0.719
0.002,10,0.004,30,10,967050.0,962472.05,-0.4734,2167.05,-6745,23,36,15,0.661,13,274187.0,-0.7162
0.002,10,0.006,30,10,967050.0,961913.91,-0.5311,2458.91,-7595,17,33,17,0.7794,16,326113.5,-0.6815
0.002,5,0.004,15,5,483525.0,479449.11,-0.843,1974.11,-6050,21,33,14,1.2034,12,243293.0,-0.7005
0.002,5,0.006,15,5,483525.0,477703.77,-1.2039,1738.77,-7560,12,27,15,1.6136,15,313992.5,-0.7461
